comments,candidate_wikipedia,party_youtube,התנועה לאיכות השלטון,party_facebook,party_manifest_url,party_website,party_image_url,mk_id,ordinal,candidate_name,ballot,party
,http://he.wikipedia.org/wiki/%D7%99%D7%A8%D7%95%D7%9F_%D7%99%D7%93%D7%A2%D7%9F,http://www.youtube.com/user/orrparty,http://www.mqg.org.il/%D7%99%D7%94%D7%93%D7%95%D7%AA%D7%94%D7%AA%D7%95%D7%A8%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA2013/tabid/711/Default.aspx,http://www.facebook.com/Or.party?ref=ts&fref=ts,http://www.orr.org.il/index.php?option=com_content&view=article&id=1&Itemid=2,http://www.orr.org.il/,http://www.orr.org.il/images/stories/or_members/yaron.jpg,,1,ידען ירון,ני,אור
,http://www.orr.org.il/index.php?option=com_content&view=article&id=30&Itemid=30,,,,,,,,2,קרמן תומר,,אור
,,,,,,,,,3,יחזקאל שרית,,אור
,,,,,,,,,4,ורובל דניאל,,אור
,,,,,,,,,5,אלון לביאה,,אור
,,,,,,,,,6,בליזובסקי אברהם,,אור
,,,,,,,,,7,דרזי דוד,,אור
,,,,,,,,,8,קרבצ`יק זאב,,אור
,,,,,,,,,9,שני אורנה,,אור
,,,,,,,,,10,סורוג`ון קובי יעקב,,אור
לא מצאתי אתר/מצע,http://he.wikipedia.org/wiki/%D7%99%D7%A2%D7%A7%D7%91_%D7%9C%D7%99%D7%A6%D7%9E%D7%9F,,,http://www.facebook.com/pages/%D7%9E%D7%A4%D7%9C%D7%92%D7%AA-%D7%99%D7%94%D7%93%D7%95%D7%AA-%D7%94%D7%AA%D7%95%D7%A8%D7%94/295187220585512?ref=ts&fref=ts,,http://he.wikipedia.org/wiki/%D7%99%D7%94%D7%93%D7%95%D7%AA_%D7%94%D7%AA%D7%95%D7%A8%D7%94,http://www.knesset.gov.il/mk/images/members/lizman_yaakov-s.jpg,216,1,ליצמן יעקב,ג,יהדות התורה והשבת אגודת ישראל - דגל התורה
,http://he.wikipedia.org/wiki/%D7%9E%D7%A9%D7%94_%D7%92%D7%A4%D7%A0%D7%99,,,,,,,35,2,גפני משה,,יהדות התורה והשבת אגודת ישראל - דגל התורה
,http://he.wikipedia.org/wiki/%D7%9E%D7%90%D7%99%D7%A8_%D7%A4%D7%A8%D7%95%D7%A9,,,,,,,103,3,פרוש מאיר,,יהדות התורה והשבת אגודת ישראל - דגל התורה
,,,,,,,,814,4,מקלב אורי,,יהדות התורה והשבת אגודת ישראל - דגל התורה
,,,,,,,,839,5,מוזס מנחם אליעזר,,יהדות התורה והשבת אגודת ישראל - דגל התורה
,,,,,,,,754,6,אייכלר ישראל יצחק,,יהדות התורה והשבת אגודת ישראל - דגל התורה
,,,,,,,,,7,אשר יעקב,,יהדות התורה והשבת אגודת ישראל - דגל התורה
,,,,,,,,,8,גוטרמן יעקב אשר,,יהדות התורה והשבת אגודת ישראל - דגל התורה
,,,,,,,,,9,ברוידא יצחק,,יהדות התורה והשבת אגודת ישראל - דגל התורה
,,,,,,,,,10,חדד שמעון,,יהדות התורה והשבת אגודת ישראל - דגל התורה
,,,,,,,,,11,פולק יהושע מנחם,,יהדות התורה והשבת אגודת ישראל - דגל התורה
,,,,,,,,,12,רייך יצחק,,יהדות התורה והשבת אגודת ישראל - דגל התורה
